pwsid,name,type,population,owner_type,primary_source,address,lat,lng,total_violations,health_violations,unaddressed_violations,risk_level,marker_color
GA0010000,BAXLEY,CWS,5749,L,GW,"BAXLEY, Appling County, GA",31.7793,-82.347,1,0,0,Low,yellow
GA0010001,SURRENCY,CWS,468,L,GW,"SURRENCY, Appling County, GA",31.7252,-82.1912,16,0,0,Low,yellow
GA0010002,ALTAMAHA ELEMENTARY SCHOOL,NTNCWS,420,L,GW,"BAXLEY, Appling County, GA",31.7793,-82.347,21,2,0,High,red
GA0010003,FOURTH DISTRICT ELEM. SCHOOL,NTNCWS,200,L,GW,"BAXLEY, Appling County, GA",31.7793,-82.347,5,0,0,Low,yellow
GA0010006,GA BAPTIST CHILDREN`S HOME - BAXLEY,CWS,58,P,GW,"BAXLEY, Appling County, GA",31.7793,-82.347,13,0,0,Low,yellow
GA0010019,COOPER TRAVEL TRAILER PARK,TNCWS,15,P,GW,"BAXLEY, Appling County, GA",31.7793,-82.347,11,1,0,High,red
GA0010043,GRAHAM WATER SYSTEM,CWS,413,L,GW,"GRAHAM, Appling County, GA",31.7252,-82.1912,60,0,0,Low,yellow
GA0010044,BARBARA DEAN'S STEAKHOUSE,TNCWS,25,P,GW,"BAXLEY, Appling County, GA",31.7793,-82.347,19,3,0,High,red
GA0030000,PEARSON,CWS,2200,L,GW,"PEARSON, Atkinson County, GA",32.821546605209285,-83.95765206614354,68,1,3,High,red
GA0030001,WILLACOOCHEE WATER SYSTEM,CWS,1435,L,GW,"WILLACOOCHEE, Atkinson County, GA",32.96393945841496,-83.05050111078216,34,12,0,High,red
GA0030004,HERITAGE HILLS,CWS,132,P,GW,"SAVANNAH, Atkinson County, GA",32.0835,-81.0998,25,0,0,Low,yellow
GA0030005,THE OAKS SUBDIVISION,CWS,58,P,GW,"SAVANNAH, Atkinson County, GA",32.0835,-81.0998,27,0,0,Low,yellow
GA0030006,TRIPLE O MOBILE HOME PARK,CWS,73,P,GW,"PEARSON, Atkinson County, GA",32.77111870696338,-82.55861398845262,30,0,1,Medium,orange
GA0050000,ALMA,CWS,4064,L,GW,"ALMA, Bacon County, GA",32.38305135229504,-84.22447741584703,20,0,0,Low,yellow
GA0050001,MILLIKEN & COMPANY,NTNCWS,220,P,GW,"NICHOLLS, Bacon County, GA",33.00386428315394,-83.34624850059156,2,0,0,Low,yellow
GA0050007,HIGHLAND PARK SUBDIVISION,CWS,65,P,GW,"ALMA, Bacon County, GA",32.75546658029462,-83.57900494537154,28,3,0,High,red
GA0070000,NEWTON,CWS,775,L,GW,"NEWTON, Baker County, GA",32.26289683806682,-84.71261252307019,116,5,6,High,red
GA0070005,ICHAUWAY # 1,NTNCWS,60,P,GW,"NEWTON, Baker County, GA",32.92425242921096,-83.68181689744225,0,0,0,Good,green
GA0070006,ICHAUWAY #2,CWS,59,P,GW,"NEWTON, Baker County, GA",31.723376907907443,-82.9014433466449,4,0,0,Low,yellow
GA0090000,BALDWIN COUNTY,CWS,23067,L,SWP,"MILLEDGEVILLE, Baldwin County, GA",33.64065686890436,-82.69225453470479,83,73,0,High,red
GA0090001,MILLEDGEVILLE,CWS,20540,L,SW,"MILLEDGEVILLE, Baldwin County, GA",32.28787012409095,-84.32624146756304,33,19,0,High,red
GA0090042,MERIWETHER-GOLDEN POND SUBDIVISION,CWS,124,P,GW,"EATONTON, Baldwin County, GA",32.98207959891942,-84.62684340705923,13,4,0,High,red
GA0090046,LANDS END SUBDIVISION,CWS,42,P,SWP,"EATONTON, Baldwin County, GA",32.218045911215654,-82.77199601553004,34,4,0,High,red
GA0090047,BALDWIN FOREST SUBDIVISION,CWS,32,P,GW,"EATONTON, Baldwin County, GA",33.534489249274216,-82.58828857608036,0,0,0,Good,green
GA0110000,HOMER,CWS,900,L,SWP,"HOMER, Banks County, GA",32.937293429791886,-82.14859085361886,58,30,0,High,red
GA0110001,MAYSVILLE WATER SYSTEM,CWS,2838,L,SWP,"MAYSVILLE, Banks County, GA",33.45426675732739,-83.93604210532384,85,65,0,High,red
GA0110026,BANKS CO - MOUNTAIN CREEK,CWS,6453,L,SW,"HOMER, Banks County, GA",33.22768282619535,-84.89842739232171,16,0,0,Low,yellow
GA0110028,SCALES CREEK GOLF COURSE,CWS,50,L,SWP,"HOMER, Banks County, GA",33.14705290390745,-83.53913958241301,17,0,0,Low,yellow
GA0110029,HIDDEN LAKE SUBDIVISION,CWS,105,L,SWP,"HOMER, Banks County, GA",31.922018064486835,-83.60279284172962,11,0,0,Low,yellow
GA0110030,CHIMNEY OAKS,CWS,368,P,SWP,"HOMER, Banks County, GA",32.41389716233588,-83.74294238853825,1,0,0,Low,yellow
GA0110031,APPLE PIE RIDGE SUBDIVISION,CWS,49,P,SWP,"BALDWIN, Banks County, GA",32.0835,-81.0998,0,0,0,Good,green
GA0130000,AUBURN,CWS,10060,L,SWP,"AUBURN, Barrow County, GA",32.273579730157074,-83.80942875283132,45,37,0,High,red
GA0130001,STATHAM,CWS,3986,L,SWP,"STATHAM, Barrow County, GA",33.016991024042696,-83.17415023746217,72,5,0,High,red
GA0130002,WINDER,CWS,51540,L,SW,"WINDER, Barrow County, GA",31.66833751526557,-84.2484412896005,24,4,0,High,red
GA0130008,BENT CREEK SUBDIVISION,CWS,203,P,GW,"EATONTON, Barrow County, GA",33.58701217233979,-82.56342433902385,43,0,0,Low,yellow
GA0130011,AUBURN MOBILE HOME PARK,CWS,159,P,SWP,"AUBURN, Barrow County, GA",32.07155154108473,-82.69650506292142,86,5,2,High,red
GA0130031,BARROW COUNTY WATER SYSTEM,CWS,17893,L,SWP,"WINDER, Barrow County, GA",32.58406332895857,-82.52861791916067,17,11,0,High,red
GA0130032,OAK HILLS WATER SYSTEM,CWS,192,P,SWP,"WATKINSVILLE, Barrow County, GA",32.848988556455225,-83.01692001863651,60,19,0,High,red
GA0130033,RIVER BLUFF SUBDIVISION,CWS,105,P,GW,"WATKINSVILLE, Barrow County, GA",32.511637773497625,-82.58849609798479,137,95,0,High,red
GA0150000,ADAIRSVILLE,CWS,7306,L,GU,"ADAIRSVILLE, Bartow County, GA",32.99122480469671,-84.9273282376123,23,3,0,High,red
GA0150001,BARTOW COUNTY,CWS,60873,L,SWP,"CARTERSVILLE, Bartow County, GA",31.968629396374563,-83.72131866449335,21,7,0,High,red
GA0150002,CARTERSVILLE,CWS,24830,L,SW,"CARTERSVILLE, Bartow County, GA",32.9445376034752,-83.41665877423816,25,9,0,High,red
GA0150003,KINGSTON,CWS,1263,L,GW,"KINGSTON, Bartow County, GA",32.37479300566857,-84.35946933342345,141,3,0,High,red
GA0150004,WHITE,CWS,900,L,GW,"WHITE, Bartow County, GA",33.18518680578604,-82.06332081855949,35,0,2,Medium,orange
GA0150025,EMERSON,CWS,1435,L,GW,"EMERSON, Bartow County, GA",32.96170782970073,-83.5142188593363,26,4,0,High,red
GA0150028,CEDAR HILL MOBILE HOME PARK,CWS,60,P,GW,"CARTERSVILLE, Bartow County, GA",32.9134618444408,-84.7784752612822,38,0,0,Low,yellow
GA0150056,HOLIDAY MARINA,TNCWS,50,P,GW,"ACWORTH, Bartow County, GA",32.230517881504575,-84.91627876189415,134,15,6,High,red
GA0150101,GLADE MARINA OFFICE,TNCWS,453,P,GW,"ACWORTH, Bartow County, GA",32.1130230870878,-81.96114526697863,3,0,0,Low,yellow
GA0150106,WATERSIDE SUBDIVISION,CWS,107,L,SWP,"EMERSON, Bartow County, GA",32.867954877678734,-82.4181878810751,4,0,0,Low,yellow
GA0150107,RED TOP,NTNCWS,852,L,SWP,"EMERSON, Bartow County, GA",31.672940788321938,-82.18690276022312,0,0,0,Good,green
GA0170000,FITZGERALD,CWS,15382,L,GW,"FITZGERALD, Ben Hill County, GA",33.58048778545186,-83.55714457804271,75,67,0,High,red
GA0190000,ALAPAHA,CWS,689,L,GW,"ALAPAHA, Berrien County, GA",32.690149093673796,-82.24657742427009,92,23,2,High,red
GA0190001,ENIGMA,CWS,1296,L,GW,"ENIGMA, Berrien County, GA",33.19368420863808,-82.03395432220655,143,3,4,High,red
GA0190002,NASHVILLE,CWS,4717,L,GW,"NASHVILLE, Berrien County, GA",32.02153162900129,-83.86446875038337,153,8,0,High,red
GA0190003,RAY CITY,CWS,1345,L,GW,"RAY CITY, Berrien County, GA",32.593661105385074,-83.36453934856931,76,2,0,High,red
GA0190006,CAMP TYGART,TNCWS,200,P,GW,"RAY CITY, Berrien County, GA",32.90722066391602,-81.97094828849987,15,0,0,Low,yellow
GA0190014,RAY`S MILL POND CAFE,TNCWS,250,P,GW,"RAY CITY, Berrien County, GA",31.83964126599877,-84.22801776382698,8,4,0,High,red
GA0190028,GREEN ACRES WELLNESS,TNCWS,26,P,GW,"ALAPAHA, Berrien County, GA",33.57314967470309,-83.67500824767836,4,0,0,Low,yellow
GA0210001,MACON WATER AUTHORITY,CWS,130024,L,SW,"MACON, Bibb County, GA",32.8407,-83.6324,19,5,0,High,red
GA0210012,"MACON MANOR ESTATES, LLC",CWS,89,P,GW,"ALPHARETTA, Bibb County, GA",32.8407,-83.6324,104,0,0,Low,yellow
